entropy,energy,mc_dropout,ensemble,hybrid
0.17058007,0.23015033,0.0007007271,0.022667646,0.24902672
0.16763467,0.3427634,0.0009640753,0.02065505,0.2541054
0.18387799,0.054977603,0.0010800958,0.02061157,0.2533267
0.15635423,0.089146204,0.0015607923,0.018397674,0.21759392
0.23524027,0.24502872,0.0013297051,0.014715821,0.3407464
0.13265613,0.048451595,0.0010901242,0.012483418,0.18109895
0.15002279,0.24887654,0.0010363013,0.0145805925,0.22178304
0.10255753,0.01589679,0.0007449761,0.03042671,0.13631037
0.18318197,0.07473261,0.0010745972,0.02019611,0.25396666
0.2324145,0.6202022,0.0011684,0.012014061,0.36744568
0.19629483,0.6860125,0.0017642528,0.033611983,0.32226667
0.18740174,0.14651191,0.0009836704,0.022569954,0.26573792
0.20708515,0.34423295,0.0010782778,0.046705455,0.3094438
0.13990144,0.14116535,0.0009983331,0.0050062984,0.19881551
0.22787432,0.20310956,0.002232805,0.012937933,0.3270113
0.211078,0.10720411,0.0016403943,0.01860398,0.2956655
0.15757819,0.10103037,0.0011933744,0.022681758,0.22027808
0.20646408,0.054554634,0.0016731173,0.010432512,0.2849056
0.21945997,0.19789597,0.0012935698,0.010104373,0.31480783
0.18097347,0.07158834,0.0008819401,0.025604963,0.25061852
0.1854587,0.14255996,0.0020495355,0.013062283,0.26269537
0.17311162,0.079161145,0.0013303906,0.023012176,0.24023315
0.20643501,0.1494077,0.0011328608,0.021479338,0.29261512
0.13456048,0.10216979,0.0012070388,0.019084185,0.18815361
0.2006072,0.098903984,0.0017918497,0.008832321,0.28033146
0.1845642,0.10686129,0.0012221932,0.0063793957,0.2585265
0.17107718,0.20430785,0.0008723587,0.012727976,0.24761099
0.057517737,0.00994081,0.0005227588,0.0024276897,0.072782114
0.23078492,0.20025621,0.0017868131,0.009177178,0.33085206
0.18141218,0.14340405,0.0011814684,0.015392929,0.25710046
0.20683385,0.11204861,0.0013139099,0.020707548,0.29012084
0.19946238,0.10284262,0.0012185723,0.011771068,0.27905092
0.1042215,0.05714675,0.0006374344,0.010596678,0.14200982
0.20739324,0.24925089,0.0013048351,0.009943843,0.3021143
0.15489988,0.07164704,0.0010467768,0.013661891,0.21412846
0.1905134,1.3410817,0.0024284273,0.024132326,0.3676985
0.13990362,0.052926272,0.0017402023,0.004398115,0.19160879
0.19650222,0.1324549,0.0016295761,0.026304528,0.27732715
0.16358295,0.09232679,0.0011203736,0.014261529,0.22797173
0.18986301,0.06973043,0.001319766,0.018060476,0.2629093
0.1486129,0.029879574,0.00095306337,0.020540357,0.20191596
0.2893482,0.33921528,0.0021432042,0.01630254,0.4241763
0.065493755,0.0118044205,0.0004351586,0.002140142,0.08409832
0.20380798,0.11095233,0.002796039,0.013671771,0.28579602
0.22169942,0.11481282,0.0012541711,0.016682506,0.31115386
0.23370413,0.17591062,0.0013171583,0.032244056,0.33294883
0.19117206,0.0694406,0.0012571514,0.011328161,0.26471788
0.15449373,0.03890957,0.0012192577,0.028336644,0.2108851
0.18365076,0.04928087,0.0013049245,0.026804343,0.2525432
0.18616481,0.18512501,0.0010041445,0.018932447,0.26716158
0.21673557,0.13036191,0.0011217594,0.01943396,0.3054765
0.20399064,0.12357716,0.0011558086,0.017699838,0.28708324
0.26278695,0.2817794,0.0015717745,0.018678725,0.38230592
0.16811235,0.09716667,0.0012378246,0.007922724,0.23470694
0.060723573,0.0036478338,0.0005704388,0.0018931665,0.0767551
0.13914667,0.055590093,0.0010624528,0.005170271,0.19076693
0.22956912,0.1810126,0.0012468249,0.015059635,0.32757798
0.18246068,0.18219894,0.0013027042,0.012195453,0.26173785
0.14807484,0.11258258,0.0010597706,0.012638226,0.20792028
0.21918604,0.31107116,0.0012162477,0.030240819,0.32367167
0.16538392,0.15475127,0.0024835318,0.012614682,0.23559307
0.28521746,0.23544285,0.0016669333,0.023828253,0.40991557
0.10541727,0.014425391,0.0012643933,0.003849849,0.14019287
0.14934973,0.060590412,0.0015090704,0.02298066,0.20545658
0.13965335,0.066450424,0.0007277727,0.013551742,0.1923635
0.17381512,0.054040335,0.0009769201,0.014558479,0.23916526
0.23581958,0.64234495,0.0013535023,0.018934265,0.37402096
0.18354182,0.053538844,0.001046747,0.020321533,0.25273862
0.21945418,0.07775311,0.0011836439,0.015014574,0.30498317
0.10453003,0.022496896,0.00062497705,0.006555535,0.13961051
0.2028407,0.5361681,0.0013263226,0.011612609,0.3191854
0.24934787,0.26293147,0.0020487309,0.02499482,0.3619554
0.1755294,0.220982,0.0011295974,0.012814134,0.25520512
0.17244454,0.050114058,0.001698792,0.016334772,0.23692608
0.22876675,0.10253434,0.0010558069,0.011615127,0.32004267
0.19877653,0.24156715,0.002123937,0.028579429,0.2894258
0.16977236,0.07603437,0.0013008267,0.023929253,0.23530374
0.14319165,0.056287393,0.0011977404,0.006470129,0.19648561
0.21106127,0.09998402,0.0013435334,0.017117262,0.29505217
