method,dataset,mean,std
entropy,ID,0.13150395,0.07010967
entropy,OOD_Far,0.10265182,0.033324502
entropy,OOD_Near,0.17927507,0.048319366
energy,ID,0.18313387,0.33030957
energy,OOD_Far,0.49748325,0.9519486
energy,OOD_Near,0.15896092,0.1761749
hybrid,ID,0.19049081,0.11600017
hybrid,OOD_Far,0.17579153,0.099370174
hybrid,OOD_Near,0.2553803,0.075808786
mc_dropout,ID,0.0008161974,0.0004437542
mc_dropout,OOD_Far,0.00163053,0.0008003582
mc_dropout,OOD_Near,0.0012336365,0.00041274165
ensemble,ID,0.0077026663,0.0057143937
ensemble,OOD_Far,0.024421453,0.012754756
ensemble,OOD_Near,0.016634608,0.007026764
