entropy,energy,mc_dropout,ensemble,hybrid
0.07877633,0.011342779,0.0009819046,0.012846887,0.102652036
0.082340874,1.2054437,0.0018009096,0.04129179,0.20520821
0.14928356,0.0849856,0.0012710243,0.011216685,0.20735723
0.058269456,0.0076545593,0.0007367842,0.008465014,0.073647484
0.034647014,0.00083612336,0.0003306456,0.01428993,0.04002635
0.098345265,0.012470715,0.0008122325,0.018771663,0.13013458
0.10194009,0.014204526,0.0013077483,0.015042782,0.13530786
0.055355348,0.0036016353,0.00043292716,0.003119558,0.06923749
0.119851775,0.056629986,0.0011929572,0.018984742,0.16384509
0.0834956,0.028925551,0.0010742769,0.016850412,0.11069418
0.0983589,1.9978409,0.0024580136,0.048100635,0.29237318
0.07125377,0.11633332,0.0023781955,0.012872003,0.10070132
0.06721764,0.006253591,0.00091478974,0.01768805,0.08605767
0.1620618,0.20191082,0.0022137612,0.021726802,0.23479643
0.071490034,0.0070788455,0.0007750392,0.014204353,0.09210511
0.15312798,1.2586992,0.0032319576,0.027938277,0.30863935
0.11916838,0.07498675,0.0012683272,0.007621743,0.16438843
0.14404005,0.29576325,0.0017399341,0.019709975,0.21724007
0.12855224,0.07045438,0.0007365346,0.014974847,0.17715257
0.084411934,0.04687343,0.0014036447,0.013164774,0.11344323
0.1456741,0.9512335,0.0030685812,0.033908665,0.273084
0.0421927,0.009140959,0.00055304915,0.010009773,0.051266517
0.0761378,0.037060726,0.00046237558,0.0069710687,0.10106027
0.04732942,0.0064862836,0.0009301044,0.010544866,0.0582394
0.18155001,0.8061203,0.004756734,0.034603998,0.31144226
0.1267344,0.059725937,0.001234889,0.012134455,0.17373158
0.13552141,3.049248,0.0032398403,0.031760238,0.4302969
0.117802545,0.2359801,0.003873907,0.03560233,0.17563105
0.07927257,0.005694167,0.001087293,0.013981186,0.10288508
0.13616914,0.046297066,0.0014891326,0.015015662,0.18584003
0.12382443,0.031123526,0.0012464225,0.01818347,0.1673215
0.098958746,0.07854797,0.0009236112,0.019210845,0.13639227
0.12199323,0.032472078,0.00072910637,0.006215647,0.16486856
0.048073318,0.0037136783,0.00047782809,0.007871851,0.059054084
0.09216651,0.1763215,0.0015393049,0.010024175,0.13487409
0.057832524,0.0033576242,0.0005421452,0.01803489,0.072684824
0.047230043,0.0031984444,0.00078498945,0.01686722,0.057831667
0.090764545,1.7817016,0.0019208044,0.05876513,0.26408327
0.10408209,0.7228293,0.0018661916,0.0473105,0.19620593
0.11280251,0.4305375,0.0016370043,0.020790525,0.18452936
0.089405045,0.017720677,0.0009494573,0.023178115,0.11805003
0.037294768,0.007338886,0.0016988367,0.040119655,0.044263702
0.09026523,3.7105408,0.0017709807,0.03635104,0.42098492
0.078205466,0.013582345,0.0010418668,0.018506058,0.10203599
0.07257614,0.009889562,0.0011744276,0.008070238,0.09385498
0.098339304,0.10396393,0.0017790347,0.036738977,0.13760191
0.09620133,0.78314626,0.002058901,0.029545017,0.19010368
0.06762228,0.009860099,0.0008097291,0.019344367,0.08691872
0.09211792,0.023639465,0.0012542456,0.01827994,0.122330815
0.091276415,0.23316126,0.0020409524,0.032774203,0.13827246
0.15502122,0.36488396,0.0025005043,0.05665885,0.23825794
0.08514276,0.081589855,0.0008646697,0.009956531,0.11730275
0.05902949,0.007104829,0.00070381165,0.007863805,0.07466637
0.11880818,0.5902754,0.0030288398,0.043559268,0.20598719
0.10105733,0.036812976,0.00080323964,0.017347306,0.13591956
0.11426012,3.782041,0.0018092692,0.037995294,0.46041238
0.12838301,0.107947126,0.0017144829,0.029561386,0.17997913
0.10482554,0.049881212,0.0009881034,0.013522811,0.14226165
0.09663219,0.012226365,0.00083599985,0.009260051,0.12771684
0.08238653,0.0071612517,0.0010714456,0.004611373,0.10736352
0.1520024,0.3328427,0.0033223182,0.031885788,0.23141453
0.10321844,0.15171069,0.0022126362,0.02596742,0.14833245
0.11528264,0.23770413,0.001912564,0.023880228,0.17224483
0.15767829,0.15833716,0.0013308376,0.012568407,0.22510059
0.11048335,0.036192942,0.0009864271,0.009536095,0.14906237
0.09635467,0.032351613,0.00088570267,0.05924371,0.12897278
0.09686051,0.17256358,0.0024628118,0.02520518,0.14113717
0.076083995,0.005601344,0.0008051172,0.0043889955,0.098414496
0.13262616,0.2546059,0.001432538,0.029493943,0.19790134
0.12818629,0.16765663,0.002460003,0.029126927,0.1845825
0.10965203,0.01850319,0.0012451336,0.0076067373,0.1464534
0.13208447,0.73432875,0.0024084747,0.047551587,0.23634009
0.14464489,0.037425093,0.0010842681,0.01603949,0.1969785
0.06107979,0.2063961,0.0027037337,0.029141895,0.09381974
0.09264143,2.0010772,0.0017741099,0.04808584,0.28463498
0.07885158,0.0060484977,0.0008082837,0.016624078,0.102324784
0.13963872,0.5497615,0.0026200265,0.017060935,0.23183315
0.09179834,0.5072282,0.0011953562,0.015900753,0.16139631
0.13397795,2.7012076,0.0025819838,0.032225594,0.39969903
0.12333056,0.82712656,0.00207562,0.035815462,0.2316696
0.1148022,3.1089287,0.003494501,0.0243079,0.4061728
0.10151064,0.07195282,0.001057446,0.011974283,0.13942523
0.10123175,1.6538215,0.0033417046,0.040805995,0.26828533
0.1530027,0.070031196,0.0011291653,0.01326777,0.21134098
0.12640546,0.63049215,0.0022460818,0.04659848,0.21990702
0.12157102,0.54549026,0.001668267,0.03829501,0.20619503
0.1132622,0.19767469,0.0018018857,0.026696712,0.16614616
0.12292918,0.03893713,0.0011142045,0.0077394843,0.16670685
0.04855839,0.0026579974,0.0006281547,0.006829612,0.05964678
0.10160472,0.07111328,0.00195878,0.009585388,0.13948832
0.13716538,0.6174732,0.0029500574,0.018736586,0.2339038
0.107620284,0.16736451,0.0022635087,0.033043444,0.15577267
0.051501114,0.005018514,0.0010262989,0.029161893,0.06395854
0.088120766,0.013340328,0.00096802413,0.018667072,0.11589453
0.15870252,1.4991415,0.0034324825,0.044815227,0.3360879
0.07545966,0.37574926,0.0014791191,0.023157433,0.12778446
0.08111452,0.09070679,0.0024223998,0.029200226,0.1124094
0.09386612,0.024737822,0.0011165813,0.016070336,0.124867484
0.10231551,0.025039077,0.0013016015,0.016240142,0.1367186
0.1357004,2.6689296,0.0019360036,0.037730157,0.39947256
0.021018721,0.0003037223,0.00024240091,0.009833075,0.020907514
0.15576154,0.07248878,0.0016200691,0.028135553,0.21540329
0.04357225,0.004294921,0.00045711175,0.006942883,0.052801494
0.094318226,0.40258673,0.0017208308,0.0341409,0.15637335
0.09628001,0.7458945,0.0026871562,0.030953035,0.18717004
0.13018952,0.24751869,0.0025326908,0.039437294,0.19391173
0.08166765,0.047778487,0.0014160275,0.015603662,0.10967604
0.08044918,0.008325206,0.00081281364,0.011866093,0.10474694
0.17088602,0.8069178,0.0031615347,0.02865386,0.29658115
0.11394139,3.474218,0.0024481341,0.040277824,0.4348148
0.08615165,0.9920258,0.0028465316,0.032015428,0.19310428
0.09581678,0.008766636,0.00078164786,0.0059921145,0.12629284
0.14323759,0.99528015,0.0028984845,0.018842682,0.27327263
0.14272593,1.9304677,0.0031462312,0.02418708,0.34896827
0.16588637,0.5787856,0.0021162033,0.04096657,0.2709431
0.081838414,0.32697028,0.0012913868,0.02498725,0.13272712
0.09005859,0.10244,0.0007648468,0.014131874,0.12588698
0.13720782,0.105473705,0.0015406162,0.009014785,0.19212903
0.1437548,0.29417545,0.0022488534,0.033459455,0.21671107
0.08865394,0.014655699,0.0014948472,0.03134373,0.11674828
0.08060982,0.016702428,0.0010043979,0.004090667,0.10565627
0.12942946,0.20740937,0.0017146319,0.043670684,0.18957065
0.06529033,0.28635657,0.0018532798,0.020809725,0.10624654
0.057152532,0.0024809781,0.00080238655,0.007052351,0.07166142
0.09387144,0.033938404,0.002248481,0.021186247,0.12562668
0.10451028,0.025804881,0.00082439184,0.02243428,0.13985316
0.12796937,0.028355706,0.001059264,0.02626817,0.17289695
