method,dataset,aupr
entropy,OOD_Far,0.18965254777612586
entropy,OOD_Near,0.04426248097475675
energy,OOD_Far,0.3841146717853394
energy,OOD_Near,0.033732397097945344
hybrid,OOD_Far,0.22428715176160607
hybrid,OOD_Near,0.03975466659422491
mc_dropout,OOD_Far,0.6603511299898703
mc_dropout,OOD_Near,0.0658363605025685
ensemble,OOD_Far,0.7990359984175088
ensemble,OOD_Near,0.13931497867196377
