entropy,energy,mc_dropout,ensemble,hybrid
0.07877633,0.011342779,0.0011119917,0.012846887,0.102652036
0.082340874,1.2054437,0.0018905848,0.04129179,0.20520821
0.14928356,0.0849856,0.0013346374,0.011216685,0.20735723
0.058269456,0.0076545593,0.0009261854,0.008465014,0.073647484
0.034647014,0.00083612336,0.00038783997,0.01428993,0.04002635
0.098345265,0.012470715,0.00096783787,0.018771663,0.13013458
0.10194009,0.014204526,0.0012821406,0.015042782,0.13530786
0.055355348,0.0036016353,0.00039494038,0.003119558,0.06923749
0.119851775,0.056629986,0.0013993457,0.018984742,0.16384509
0.0834956,0.028925551,0.0018882975,0.016850412,0.11069418
0.0983589,1.9978409,0.0026469007,0.048100635,0.29237318
0.07125377,0.11633332,0.0024751872,0.012872003,0.10070132
0.06721764,0.006253591,0.0011159256,0.01768805,0.08605767
0.1620618,0.20191082,0.0025009662,0.021726802,0.23479643
0.071490034,0.0070788455,0.0009699911,0.014204353,0.09210511
0.15312798,1.2586992,0.0026040077,0.027938277,0.30863935
0.11916838,0.07498675,0.0011709332,0.007621743,0.16438843
0.14404005,0.29576325,0.0018245876,0.019709975,0.21724007
0.12855224,0.07045438,0.0008869022,0.014974847,0.17715257
0.084411934,0.04687343,0.0011415929,0.013164774,0.11344323
0.1456741,0.9512335,0.0025529861,0.033908665,0.273084
0.0421927,0.009140959,0.0005515516,0.010009773,0.051266517
0.0761378,0.037060726,0.00050745904,0.0069710687,0.10106027
0.04732942,0.0064862836,0.00093786046,0.010544866,0.0582394
0.18155001,0.8061203,0.004469067,0.034603998,0.31144226
0.1267344,0.059725937,0.0010472983,0.012134455,0.17373158
0.13552141,3.049248,0.0031366646,0.031760238,0.4302969
0.117802545,0.2359801,0.0030664802,0.03560233,0.17563105
0.07927257,0.005694167,0.001216419,0.013981186,0.10288508
0.13616914,0.046297066,0.001426667,0.015015662,0.18584003
0.12382443,0.031123526,0.0014286339,0.01818347,0.1673215
0.098958746,0.07854797,0.00090355426,0.019210845,0.13639227
0.12199323,0.032472078,0.00069853663,0.006215647,0.16486856
0.048073318,0.0037136783,0.0005333349,0.007871851,0.059054084
0.09216651,0.1763215,0.001293622,0.010024175,0.13487409
0.057832524,0.0033576242,0.00068180263,0.01803489,0.072684824
0.047230043,0.0031984444,0.0006318912,0.01686722,0.057831667
0.090764545,1.7817016,0.0019544438,0.05876513,0.26408327
0.10408209,0.7228293,0.0013855547,0.0473105,0.19620593
0.11280251,0.4305375,0.0021970794,0.020790525,0.18452936
0.089405045,0.017720677,0.0011725724,0.023178115,0.11805003
0.037294768,0.007338886,0.0010079518,0.040119655,0.044263702
0.09026523,3.7105408,0.001895085,0.03635104,0.42098492
0.078205466,0.013582345,0.0015408099,0.018506058,0.10203599
0.07257614,0.009889562,0.0008767471,0.008070238,0.09385498
0.098339304,0.10396393,0.0022893697,0.036738977,0.13760191
0.09620133,0.78314626,0.0023947507,0.029545017,0.19010368
0.06762228,0.009860099,0.00092694163,0.019344367,0.08691872
0.09211792,0.023639465,0.0012818575,0.01827994,0.122330815
0.091276415,0.23316126,0.0021407008,0.032774203,0.13827246
0.15502122,0.36488396,0.0025372505,0.05665885,0.23825794
0.08514276,0.081589855,0.00096836686,0.009956531,0.11730275
0.05902949,0.007104829,0.00069899857,0.007863805,0.07466637
0.11880818,0.5902754,0.0029578134,0.043559268,0.20598719
0.10105733,0.036812976,0.00082782656,0.017347306,0.13591956
0.11426012,3.782041,0.0019207224,0.037995294,0.46041238
0.12838301,0.107947126,0.0017281026,0.029561386,0.17997913
0.10482554,0.049881212,0.0011348352,0.013522811,0.14226165
