method,dataset,auroc
entropy,OOD_Far,0.40185045608420844
entropy,OOD_Near,0.7101064194575986
energy,OOD_Far,0.5825495126496767
energy,OOD_Near,0.6392029770701816
hybrid,OOD_Far,0.47727195261854954
hybrid,OOD_Near,0.6899050248774984
mc_dropout,OOD_Far,0.8171919489878061
mc_dropout,OOD_Near,0.7742312364339623
ensemble,OOD_Far,0.9009322498800824
ensemble,OOD_Near,0.8479985129508153
