entropy,energy,mc_dropout,ensemble,hybrid
0.17058007,0.23015033,0.00068311393,0.022667646,0.24902672
0.16763467,0.3427634,0.00086550415,0.02065505,0.2541054
0.18387799,0.054977603,0.0010363162,0.02061157,0.2533267
0.15635423,0.089146204,0.0018694252,0.018397674,0.21759392
0.23524027,0.24502872,0.0011089444,0.014715821,0.3407464
0.13265613,0.048451595,0.0009519309,0.012483418,0.18109895
0.15002279,0.24887654,0.0012976378,0.0145805925,0.22178304
0.10255753,0.01589679,0.00079132617,0.03042671,0.13631037
0.18318197,0.07473261,0.0014066547,0.02019611,0.25396666
0.2324145,0.6202022,0.0017944127,0.012014061,0.36744568
0.19629483,0.6860125,0.0018016249,0.033611983,0.32226667
0.18740174,0.14651191,0.0010108352,0.022569954,0.26573792
0.20708515,0.34423295,0.0010838956,0.046705455,0.3094438
0.13990144,0.14116535,0.00081938505,0.0050062984,0.19881551
0.22787432,0.20310956,0.002738133,0.012937933,0.3270113
0.211078,0.10720411,0.0017640293,0.01860398,0.2956655
0.15757819,0.10103037,0.0009251982,0.022681758,0.22027808
0.20646408,0.054554634,0.0016237795,0.010432512,0.2849056
0.21945997,0.19789597,0.0013773292,0.010104373,0.31480783
0.18097347,0.07158834,0.0007982552,0.025604963,0.25061852
0.1854587,0.14255996,0.0022075474,0.013062283,0.26269537
0.17311162,0.079161145,0.0016787201,0.023012176,0.24023315
0.20643501,0.1494077,0.0011825562,0.021479338,0.29261512
0.13456048,0.10216979,0.001067251,0.019084185,0.18815361
0.2006072,0.098903984,0.0013043731,0.008832321,0.28033146
0.1845642,0.10686129,0.0012445599,0.0063793957,0.2585265
0.17107718,0.20430785,0.00096693635,0.012727976,0.24761099
0.057517737,0.00994081,0.0005615577,0.0024276897,0.072782114
0.23078492,0.20025621,0.0021974742,0.009177178,0.33085206
0.18141218,0.14340405,0.0012355447,0.015392929,0.25710046
0.20683385,0.11204861,0.0016395152,0.020707548,0.29012084
0.19946238,0.10284262,0.0011917949,0.011771068,0.27905092
0.1042215,0.05714675,0.0006519705,0.010596678,0.14200982
0.20739324,0.24925089,0.0012543052,0.009943843,0.3021143
0.15489988,0.07164704,0.0012041479,0.013661891,0.21412846
0.1905134,1.3410817,0.00226745,0.024132326,0.3676985
0.13990362,0.052926272,0.0017095059,0.004398115,0.19160879
0.19650222,0.1324549,0.0015691221,0.026304528,0.27732715
0.16358295,0.09232679,0.001091212,0.014261529,0.22797173
0.18986301,0.06973043,0.001072228,0.018060476,0.2629093
0.1486129,0.029879574,0.0008674711,0.020540357,0.20191596
0.2893482,0.33921528,0.0020205975,0.01630254,0.4241763
0.065493755,0.0118044205,0.0005379692,0.002140142,0.08409832
0.20380798,0.11095233,0.0029448718,0.013671771,0.28579602
0.22169942,0.11481282,0.0014005154,0.016682506,0.31115386
0.23370413,0.17591062,0.001298517,0.032244056,0.33294883
0.19117206,0.0694406,0.0012220293,0.011328161,0.26471788
0.15449373,0.03890957,0.0011473447,0.028336644,0.2108851
0.18365076,0.04928087,0.0012833625,0.026804343,0.2525432
0.18616481,0.18512501,0.0010047257,0.018932447,0.26716158
0.21673557,0.13036191,0.0011486262,0.01943396,0.3054765
0.20399064,0.12357716,0.0008726865,0.017699838,0.28708324
0.26278695,0.2817794,0.0017437637,0.018678725,0.38230592
0.16811235,0.09716667,0.0011193901,0.007922724,0.23470694
0.060723573,0.0036478338,0.00069411844,0.0018931665,0.0767551
0.13914667,0.055590093,0.0009560883,0.005170271,0.19076693
0.22956912,0.1810126,0.0012732744,0.015059635,0.32757798
0.18246068,0.18219894,0.001062721,0.012195453,0.26173785
0.14807484,0.11258258,0.0009431243,0.012638226,0.20792028
0.21918604,0.31107116,0.0013762712,0.030240819,0.32367167
0.16538392,0.15475127,0.002204448,0.012614682,0.23559307
0.28521746,0.23544285,0.0021184385,0.023828253,0.40991557
0.10541727,0.014425391,0.0010988265,0.003849849,0.14019287
0.14934973,0.060590412,0.00123474,0.02298066,0.20545658
0.13965335,0.066450424,0.0008021146,0.013551742,0.1923635
0.17381512,0.054040335,0.0007748008,0.014558479,0.23916526
0.23581958,0.64234495,0.0013458729,0.018934265,0.37402096
0.18354182,0.053538844,0.0010468513,0.020321533,0.25273862
0.21945418,0.07775311,0.0013976246,0.015014574,0.30498317
0.10453003,0.022496896,0.00071839243,0.006555535,0.13961051
0.2028407,0.5361681,0.0012819022,0.011612609,0.3191854
