method,dataset,aupr
entropy,OOD_Cross,0.16559963469606162
entropy,OOD_Synth,0.6217806296182502
energy,OOD_Cross,0.1514845781520448
energy,OOD_Synth,0.6088243676595914
hybrid,OOD_Cross,0.15137129390501453
hybrid,OOD_Synth,0.6099206317826966
mc_dropout,OOD_Cross,0.2346545852899219
mc_dropout,OOD_Synth,0.5009850127844004
ensemble,OOD_Cross,0.20365240119375866
ensemble,OOD_Synth,0.47799624409789077
