method,dataset,auroc
entropy,OOD_Cross,0.20691635519548338
entropy,OOD_Synth,0.5597481033528353
energy,OOD_Cross,0.9163669761531925
energy,OOD_Synth,0.47868802183765036
hybrid,OOD_Cross,0.9162010596208059
hybrid,OOD_Synth,0.47915874105817635
mc_dropout,OOD_Cross,0.5136434311916376
mc_dropout,OOD_Synth,0.5194238036037748
ensemble,OOD_Cross,0.39645959674161885
ensemble,OOD_Synth,0.5153822547101427
