method,dataset,mean,std
entropy,ID,0.0703347,0.053321272
entropy,OOD_Cross,0.024760406,0.030268995
entropy,OOD_Synth,0.08012797,0.053105224
energy,ID,19.8574,4.775105
energy,OOD_Cross,35.638313,11.220878
energy,OOD_Synth,19.402233,4.6169124
hybrid,ID,9.963867,2.3786216
hybrid,OOD_Cross,17.831537,5.602706
hybrid,OOD_Synth,9.74118,2.2987063
mc_dropout,ID,0.07678874,0.057056643
mc_dropout,OOD_Cross,0.07606194,0.049042966
mc_dropout,OOD_Synth,0.07849841,0.05295453
ensemble,ID,0.097465634,0.063130766
ensemble,OOD_Cross,0.07149884,0.037526425
ensemble,OOD_Synth,0.09672799,0.050936498
