entropy,energy,hybrid,mc_dropout,ensemble
0.011256035,17.371542,8.691399,0.17457525,0.119129986
0.11260517,17.571373,8.8419895,0.028999688,0.027886214
0.007259894,19.434883,9.721071,0.004929863,0.14251527
0.038731705,22.825796,11.432264,0.051124133,0.078750834
0.08512514,22.212679,11.148902,0.062354703,0.041446246
0.10434177,18.26949,9.186915,0.09873631,0.13014331
0.021023937,13.522941,6.771982,0.055797853,0.047086947
0.07677604,14.561333,7.3190546,0.16363461,0.123709306
0.06116121,19.287191,9.674176,0.16555946,0.091525644
0.009434681,20.461468,10.235451,0.031291727,0.017458979
0.11047515,18.708263,9.409369,0.0026382727,0.10546141
0.087081626,24.790663,12.438872,0.11349355,0.08101348
0.024362214,23.295223,11.659793,0.13216381,0.0888947
0.052702732,20.9079,10.480301,0.03548227,0.07515671
0.03591707,27.412016,13.723967,0.012908143,0.020663982
0.05242986,17.87123,8.961829,0.13496524,0.08186368
0.15788029,15.977926,8.0679035,0.18286015,0.22947943
0.062274985,16.00654,8.034408,0.03658765,0.109897375
0.030131655,18.978313,9.504223,0.06955472,0.078551985
0.04786655,11.222137,5.635002,0.07854891,0.07314249
0.017718935,21.159845,10.588782,0.09604209,0.1674925
0.084327355,20.094566,10.089447,0.05713539,0.07841343
0.026499355,22.396038,11.211268,0.021302907,0.033051178
0.028930224,18.824718,9.426825,0.016346505,0.040452726
0.11932445,15.222004,7.6706643,0.087331064,0.20566948
0.093587905,26.217264,13.155426,0.0029204201,0.022976806
0.16384238,14.173493,7.168668,0.018229745,0.012897943
0.17575571,16.79875,8.487253,0.1314317,0.039772745
0.10036319,14.326907,7.213635,0.061359234,0.15331335
0.015364471,21.288925,10.652144,0.004336687,0.08624981
0.07331574,25.975645,13.024481,0.0693739,0.04651045
0.14011724,16.247328,8.193723,0.13465758,0.033009246
0.0662433,13.5240135,6.7951283,0.11047823,0.12513058
0.16461895,16.485098,8.324859,0.08129272,0.110905975
0.024212234,26.033684,13.028948,0.09371165,0.00043734376
0.13354114,17.019772,8.576656,0.11764097,0.07731521
0.08014378,12.336222,6.208183,0.12865734,0.094383195
0.05786897,12.297237,6.177553,0.043185513,0.10852978
0.06107375,22.935186,11.49813,0.084889024,0.048949275
0.07959163,20.059671,10.069632,0.09383147,0.03145318
0.005182187,19.866966,9.936074,0.015314446,0.13402268
0.06860318,24.563433,12.316018,0.020256594,0.032444295
0.1869476,18.102144,9.144546,0.008636246,0.08409741
0.018625956,13.842382,6.9305043,0.04771552,0.07639976
0.005910473,20.234322,10.120116,0.1164002,0.12683046
0.009689493,26.91372,13.461704,0.0952859,0.1221701
0.047061816,16.152016,8.099539,0.097716965,0.11204015
0.1955642,17.211285,8.703424,0.123617366,0.09431624
0.21494143,16.413729,8.314335,0.13234507,0.10581965
0.087006316,15.095816,7.591411,0.059844833,0.048568882
0.021519197,22.947155,11.484337,0.08905825,0.05131387
