entropy,energy,mc_dropout,ensemble,hybrid
0.12009789,0.0788102,0.0005670488,0.02510278,0.1665272
0.113511264,1.052396,0.00088590384,0.023153737,0.24334902
0.16564819,0.09338097,0.00065627694,0.021658406,0.23157105
0.20412205,0.14940764,0.0010741353,0.020040318,0.29037377
0.2137536,0.28772902,0.00092211366,0.016998306,0.3160791
0.15777273,0.15662043,0.0008942187,0.014284924,0.22613667
0.16657344,0.4182205,0.0007454753,0.018764079,0.2615739
0.09979959,0.026391493,0.00048613548,0.03158845,0.1334834
0.13528262,0.18186194,0.00073985755,0.024520412,0.1968883
0.14234553,0.26317844,0.0015883893,0.013474047,0.21396054
0.12801325,0.11077423,0.0010746866,0.030456677,0.18043105
0.24630983,1.1206892,0.0011894107,0.02322045,0.43526083
0.16591989,0.28713945,0.0006761998,0.05131647,0.2490748
0.18042749,0.41848594,0.0009860992,0.005610898,0.28098872
0.12842518,0.14629304,0.0013273209,0.011421174,0.1841466
0.1741065,0.11182532,0.0009073168,0.017421767,0.24504004
0.122322,0.16822359,0.0008779317,0.02468431,0.17754218
0.2460303,1.3464496,0.0017983168,0.012576342,0.45482126
0.26781857,0.7466672,0.0008390099,0.01314804,0.43231195
0.14724465,0.1933877,0.00094538927,0.029546097,0.21464999
0.17626518,1.1768793,0.0010724664,0.010966435,0.3421861
0.09143075,0.07049768,0.000755392,0.025294691,0.12566756
0.10202841,0.15501145,0.0008684248,0.02642712,0.14796989
0.15093727,0.0808042,0.0009934455,0.019055799,0.2098689
0.1368004,0.044810265,0.0009221956,0.011094317,0.1869007
0.09632088,0.05471978,0.0005491823,0.006976649,0.13111784
0.18108763,0.23623839,0.0007613301,0.015327394,0.2658065
0.1229105,0.09825762,0.00017444044,0.003127735,0.17218263
0.1720512,0.1405135,0.0010594279,0.012093499,0.24469861
0.20912883,0.2807461,0.00075882673,0.019730046,0.30898875
0.1488269,0.16554706,0.0012675673,0.02691853,0.2144042
0.17342526,0.13246638,0.0010504425,0.01671271,0.24591067
0.0809847,0.040320117,0.00042711198,0.012298748,0.108379394
0.13350277,0.103286035,0.00086660683,0.015796214,0.18745288
0.0936246,0.07448676,0.0006135702,0.017681435,0.12909079
0.15519445,0.25287893,0.0018312484,0.023229167,0.23103477
0.098135926,0.13050178,0.00063478947,0.0043230504,0.14035559
0.12823348,0.22204237,0.0011704266,0.02975376,0.19057266
0.14855972,0.1081665,0.00079628825,0.014814749,0.2089592
0.053442534,0.007318246,0.0004994273,0.022062495,0.06691244
0.09223993,0.021860521,0.00045497715,0.026092619,0.12250182
0.19632962,1.4479799,0.0012886524,0.016533226,0.39422864
0.12784295,0.061085492,0.00037365407,0.0022862554,0.17580141
0.13779901,0.049363554,0.0011749417,0.013211384,0.18870085
0.16521731,0.33822942,0.0008870959,0.018787831,0.2526065
0.12711352,0.09119152,0.0014944971,0.03297645,0.17744106
0.19692227,0.47438943,0.00071714073,0.013661057,0.3090167
0.15767191,0.106036656,0.0008138269,0.029138893,0.22152519
0.15884757,0.07684264,0.0014350414,0.028908297,0.22059071
0.17829715,0.78926116,0.00084637105,0.020333558,0.31077433
0.18855125,0.17308472,0.0014130324,0.023957327,0.270672
0.17541328,0.39763704,0.0007914901,0.024022713,0.27212787
0.22818892,0.5545894,0.00095541775,0.018375143,0.35986793
0.17535712,0.07979591,0.0010454655,0.009520233,0.24395992
0.044223122,0.003781998,0.00024970062,0.0016037747,0.05369564
0.17955,0.23834169,0.0004591234,0.0027192086,0.2638402
0.18531975,0.19756456,0.0013718307,0.015830383,0.26831234
0.170328,0.35244715,0.0009188056,0.0145513415,0.2610164
0.08674963,0.016332453,0.00063002855,0.016468666,0.11432858
0.16137086,0.41734466,0.0011014342,0.032487914,0.25421453
0.14918259,0.29856288,0.00091551244,0.016768016,0.22665739
0.16984932,0.29094172,0.001094073,0.023234412,0.25491083
0.07050197,0.00993549,0.00033158064,0.004795827,0.09102161
0.13648392,0.11783961,0.0006701052,0.026389927,0.19291174
0.10635461,0.085192926,0.00046491623,0.016809613,0.14785497
0.19482248,0.4142596,0.0010385066,0.015988782,0.30076367
0.21495005,0.45017028,0.0012945831,0.018447682,0.33210957
0.1285612,0.054321766,0.0007574856,0.026561454,0.17620899
0.15515298,0.110627495,0.0009830743,0.016555816,0.2184052
0.13039559,0.07298529,0.0006902218,0.0083305985,0.18042596
0.14018624,0.33937427,0.00096684694,0.015347958,0.21767204
0.15328346,0.59386927,0.0012784302,0.024372935,0.25849515
0.16484132,0.27094412,0.0008445531,0.013374716,0.2461339
