method,dataset,mean,std
entropy,ID,0.13150395,0.07010967
entropy,OOD_Far,0.11582291,0.036473516
entropy,OOD_Near,0.1477021,0.042717293
energy,ID,0.18313387,0.33030957
energy,OOD_Far,0.49632713,0.9702879
energy,OOD_Near,0.28792864,0.33363023
hybrid,ID,0.19171175,0.11761199
hybrid,OOD_Far,0.19744179,0.10845471
hybrid,OOD_Near,0.22364537,0.07825317
mc_dropout,ID,0.0008602939,0.0004374801
mc_dropout,OOD_Far,0.00096715963,0.00044622994
mc_dropout,OOD_Near,0.00089436886,0.00035440084
ensemble,ID,0.007679095,0.0056746197
ensemble,OOD_Far,0.026575603,0.012913669
ensemble,OOD_Near,0.018338423,0.0078523625
