method,dataset,auroc
entropy,OOD_Far,0.4612305327147494
entropy,OOD_Near,0.5941555880930909
energy,OOD_Far,0.6003638628279294
energy,OOD_Near,0.7076045249272191
hybrid,OOD_Far,0.5275369726776622
hybrid,OOD_Near,0.6153677917833961
mc_dropout,OOD_Far,0.5760991318375845
mc_dropout,OOD_Near,0.5476059336805782
ensemble,OOD_Far,0.9291944213452945
ensemble,OOD_Near,0.8692755821608963
