method,dataset,aupr
entropy,OOD_Far,0.20561413051824987
entropy,OOD_Near,0.02991753995500021
energy,OOD_Far,0.3849487811091182
energy,OOD_Near,0.044508024004223476
hybrid,OOD_Far,0.25801101385148795
hybrid,OOD_Near,0.03174933699211085
mc_dropout,OOD_Far,0.2839220833168151
mc_dropout,OOD_Near,0.027939667033652908
ensemble,OOD_Far,0.8480586070527848
ensemble,OOD_Near,0.20548576683489783
