method,dataset,aupr
entropy,OOD_Cross,0.25566706806859196
entropy,OOD_Synth,0.5871107614598521
energy,OOD_Cross,0.3003006064283467
energy,OOD_Synth,0.637309815932539
hybrid,OOD_Cross,0.2996983972831
hybrid,OOD_Synth,0.6376713359534582
mc_dropout,OOD_Cross,0.248823324748418
mc_dropout,OOD_Synth,0.5090956088325385
ensemble,OOD_Cross,0.3741064265728082
ensemble,OOD_Synth,0.5903504950386962
