method,dataset,auroc
entropy,OOD_Cross,0.533036474940482
entropy,OOD_Synth,0.6270933251424552
energy,OOD_Cross,0.5765177103667536
energy,OOD_Synth,0.648785404636638
hybrid,OOD_Cross,0.576161046319669
hybrid,OOD_Synth,0.649293603030425
mc_dropout,OOD_Cross,0.5290964663950728
mc_dropout,OOD_Synth,0.5237369329337349
ensemble,OOD_Cross,0.6861935795939305
ensemble,OOD_Synth,0.6222230574993689
